timestamp,value1,value2,value3,value4
0.0,0.3527921231681006,0.2422727884732656,0.6468895870743999,0.9203965831594814
0.0625,0.37506212594308697,0.2575662582456405,0.6877244922584714,0.9784966174714236
0.125,0.3987379226432443,0.2738251282973966,0.7311371008322874,1.0402642164493072
0.1875,0.42390825401009913,0.2911103395211697,0.7772901303223256,1.1059308951126698
0.25,0.45066746254448664,0.30948667970344357,0.8263565697989225,1.1757427828666571
0.3125,0.4791158461176074,0.32902302635972347,0.8785203282674795,1.2499615460351148
0.375,0.5093600339037814,0.349792604898681,0.9339769239893642,1.3288653686285814
0.4375,0.5415133860439576,0.37187326308291024,0.9929342173161928,1.4127499950232605
0.5,0.5756964185379825,0.39534776281501893,1.0556131897842775,1.5019298384591038
0.5625,0.6120372549581926,0.420304090342717,1.1222487723894101,1.5967391595118348
0.625,0.6506721066774285,0.446835786045601,1.1930907261464916,1.6975333189560193
0.6875,0.6917457834114411,0.47504229503972956,1.2684045782344888,1.804690109715118
0.75,0.7354122359892883,0.5050293399141125,1.348472617235541,1.9186111728908848
0.8125,0.7818351333861121,0.5369093169961908,1.4335949511985346,2.039723503179622
0.875,0.8311884761811105,0.5708017176315754,1.5240906324929422,2.1684810493178355
0.9375,0.883657248740043,0.6068335760570686,1.6202988536690592,2.3053664155560236
1.0,0.9394381125667582,0.645139945545671,1.7225802188069186,2.4508926705379976
